appellation,oeil,nez,bouche,mets_et_vin
Montagny,": Limpide, la robe du montagny est dorée à reflets verts. Une couleur plus jaune, bouton d'or, est un effet de l'âge.","Les arômes évoquent l'aubépine, l'acacia, le chèvrefeuille et la fougère. Il s'y ajoute la citronnelle, la pierre à fusil, sous un angle plus vif. Dans le registre fruité, on perçoit la pêche blanche, la poire, les fruits blancs. Une touche de noisette, souvent apportée par le fût, ou encore de miel souligne la douceur de la palette.","Le montagny est un vin frais, jeune de caractère, fringant et aimable, privilégiant le retour d'arômes(parfois un peu épicés) et la spontanéité. La structure trouve un accord remarquable avec la finesse des saveurs.","Gougères, moules, écrevisses, coquilles saint-
jacques, andouillette, cuisses de grenouilles,
poisson de rivière, volaille de bresse, fromages de
chèvre ou saint-nectaire."
Ladoix,": La robe du ladoix rouge évoque souvent la couleur de la crème de cassis : grenat brillant, d'une nuance presque noire à reflets violacés.L'or et le paille clair sont les tonalités les plus fréquentes du ladoix blanc.","En rouge, le bouquet est marqué par la framboise et, plus encore, par la cerise confite ou à l'eau-de-vie, le fruit mûr. Des notes végétales (sureau) et épicées (girofle), des accents de café ou de cacao complètent la palette.En blanc, apparaît une dominante d'acacia soulignée d'une pointe beurrée. La prune, la pomme mûre, la figue, le coing, la poire épicée font partie des arômes classiques.","Le ladoix rouge s'exprime de façon assez tendre, en épousant une forme ronde et pleine, un velouté sphérique. Il offre une bonne structure tannique.Le ladoix blanc est assez ferme, vif mais retenu. Son gras et son ampleur équilibrent sa fraîcheur. L'âge lui apporte du moelleux.","Pâté en croûte, viande rouge, coq au vin, fromages (reblochon, vacherin). poisson d’eau douce, veau orloff , fromages (bleu de bresse, comté)."
Aloxe-corton,": La robe est presque toujours assez foncée, parfois violacée, rubis soutenu ou pourpre intense.","Lorsque le vin est jeune, les arômes évoquent les fleurs (jardin au printemps) et les fruits (griotte, cassis, mûre). Avec l'âge, ces accents s'intensifient en évoluant.","Sur les sols profonds de cette partie basse de la Montagne de Corton, le pinot noir offre un vin corsé et généreux, qui ne perd jamais sa distinction. Quelquefois tendre et fruitée, la bouche peut attendre quelques années pour s'ouvrir. Le corps est structuré, porté par des tanins aimables. La soie équilibre la mâche.","Viandes rôties ou en sauce assez relevées, gibier (lapin chasseur), fromages (chaource)."
Pernand-vergelesses,": En rouge, le pernand-vergelesses se présente sous des atours rubis foncé, grenat sombre ou pourpre intense.En blanc, la teinte varie de l'or blanc au jaune pâle.","En rouge, le pernand-vergelesses est axé sur des arômes de petits fruits rouges (fraise, framboise, cerise) et sur des accents floraux (violette). Après quelques années, le fruit mûr, le fruit cuit, les notes animales, le musc, le cuir et les épices apparaissent.En blanc, se manifestent des arômes de fleurs blanches (aubépine, acacia) sur un fond minéral. La palette est ponctuée de nuances de pomme et d'agrumes. Avec l'âge, le vin dévoile l'ambre, le miel et les épices.","Le pernand-vergelesses rouge présente des tanins solides, une attaque franche. L'harmonie entre le gras et l'acidité assure à ce vin corsé une maturité heureuse.Le pernand-vergelesses blanc est sec, vif. Assez léger, il est toujours aimable.","Gigot d’agneau, pigeon aux petits pois, fromages (reblochon, tomme de savoie, montd’or). langoustines, poisson, fromages (comté)."
Corton-charlemagne,": Le corton-charlemagne porte dans sa jeunesse une robe or pâle, qui s'accompagne souvent des fameux reflets verts du chardonnay. Avec l'âge, l'or prend parfois des nuances d'ambre jaune.","Un bouquet d'une grande délicatesse, sur des tonalités beurrées pomme au four, teintées d'agrumes (ananas), de silex, de tilleul, de fougère, de genévrier, de cannelle. Les notes miellées (jusqu'à l'hydromel) sont fréquentes.Le cuir, la truffe font escorte aux millésimes plus anciens.","Le corton-charlemagne emplit le verre et la bouche d'un souffle puissant. D'une extraordinaire richesse, il étonne par sa concentration, séduit par son élégance et sa race. Rarement la grâce du cépage établit un lien aussi étroit avec le caractère du terroir. Sa structure très équilibrée lui permet de se maintenir longtemps en bouche.","Langoustines rôties au safran, sole au beurre citronné, mousseline de brochet, écrevisses à la nage, poisson à la crème ou à l’oseille, volaille aux morilles."
Savigny-lès-beaune,": En rouge, la robe grenat intense tire parfois jusqu'à la tulipe noire.En blanc, la teinte or pâle se pare de reflets verts.","Le savigny-lès-beaune rouge livre des arômes de fruits rouges (cerise, framboise) et noirs (cassis, mûre), de fleurs (violette), de fruits à noyau macérés dans l'alcool et des nuances de réglisse. Les notes animales, les accents d'humus et de sous-bois mariés aux épices apparaissent fréquemment avec l'âge.En blanc, se déclinent l'aubépine, l'amande fraîche, la menthe, le citron, la poire, la feuille de cassis, la rose, la muscade, le pain de mie et la noisette.","En rouge, la bouche du savigny-lès-beaune a parfois le goût de mûre et de réglisse. Les tanins bien présents construisent une charpente robuste.En blanc, le dégustateur perçoit le fruit du chardonnay, ses fleurs. Souvent assez vif, le vin s'apaise avec le temps, pour laisser monter un gras voluptueux.","Jambon persillé, volaille en sauce, chevreuil en sauce, fromages (époisses, soumaintrain, langres, munster). quiche lorraine, andouillette, escargots de bourgogne, filets de sole, turbot, bar, fromages (comté, saint-nectaire)."
Chorey-lès-beaune,": En rouge, le chorey présente une robe assez vive, souvent pourpre sombre avec des reflets violacés.En blanc, le vin offre des teintes or clair tirant parfois sur un jaune léger.","En rouge, dominent les petits fruits rouges (framboise, griotte) et noirs (cassis). Les arômes complémentaires sont la réglisse et le sous-bois. Parmi les notes plus évoluées figurent la prune très mûre, les fruits confits, la confiture de fraises, le pain d'épice, l'animal et le cuir.En blanc, l'aubépine et l'acacia, les fleurs blanches, agrémentés de noisette, d'amande, de citronnelle, de fruits blancs (poire) ou encore de miel discret composent la palette aromatique.","Le chorey rouge a une structure impeccable?; ses tanins bien présents et élégants traduisent sa réussite.Il laisse au palais un sentiment de jeunesse, mais ne manque pas de rondeur derrière sa charpente. Un vin bien fruité.Les vins blancs sont fruités, un peu vifs dans leur jeunesse. L'âge leur donne du gras et de la souplesse.","Oeufs en meurette, lapin, poissons (sandre, rouget), fromages (cîteaux, reblochon, brillat-savarin). bouchées à la reine, andouillette, poisson, fromages (comté, saint-nectaire)."
Beaune,": En rouge, le beaune premier cru revêt une robe éclatante et vive, évitant le pourpre assombri mais restant lumineuse et écarlate.En blanc, le vin est or clair et discret, du moins tant qu'il est jeune.","En rouge, et avec des nuances selon les crus, les arômes beaunois évoquent les fruits noirs (cassis, mûre), les fruits rouges (cerise, groseille), le sous-bois, l'humus, la truffe, le cuir, la fourrure, les épices avec l'âge.En blanc, le bouquet tourne autour de l'amande amère, des fruits secs, de la fougère et des fleurs blanches classiques. Les arômes végétaux sont assez fréquents, de même que les accents beurrés et une note de miel parfois. Épices ? La cannelle.","Les rouges ont dans leur adolescence un charme croquant, de raisin frais. On mord dans la grappe. La plupart sont assez robustes, souvent corsés et épicés, mais ni trop minces ni trop capiteux, sensuels et fruités. Les vins du versant Savigny sont assez puissants, intenses et fermes, profonds?; ceux de Pommard plus ronds et plus souples, plus sensibles à la nuance, parvenant plus tôt à la maturité.Relativement rares, sauf quelques figures de proue comme au Clos des Mouches, les blancs doivent être bus assez jeunes. Ils méritent d'être goûtés sur le fruit.","Volaille rôtie, gibier, fromages (reblochon, brie). fruits de mer, tourtes et pâté chauds, charcuterie fine, poisson."
Pommard,": La robe du pommard est d'un rouge profond, pourpre foncé. Elle se nuance fréquemment de reflets mauves.","Si la gamme aromatique comprend la mûre et la myrtille, elle tend souvent vers la groseille, la cerise concentrée (noyau) ou encore la prune mûre, sinon confite. Les arômes de maturité expriment le cuir, le poivre ou le poivron, le chocolat. La croûte de pain frais et la réglisse peuvent apparaître.","Souvent fermé dans sa jeunesse, le pommard s'épanouit au bout de quatre ou cinq ans, offrant à la dégustation sa structure tendre, son caractère charnu, sa richesse et sa puissance. Il est fruité en bouche, tout en ayant de la mâche.","Râble ou civet de lièvre, côte de boeuf, entrecôte vigneronne, gibier, fromages (munster, livarot)."
Volnay,": D'un éclat brillant, la robe est rouge vif, mais elle peut aller jusqu'au grenat foncé. On y distingue souvent des flammes rubis.","Les arômes frais et légers tendent vers des notes végétales et fleuries (la violette, arôme classique du vin rouge de Bourgogne, ou encore la rose). Des touches de fruits rouges (framboise, groseille) ou noirs (mûres) sont également perceptibles.","Le volnay est un réel séducteur grâce à sa bouche légère, fruitée. Bien souvent, le volnay premier cru montre davantage de concentration et d'élégance que le volnay, mais ces nuances dépendent beaucoup des domaines et des années.","Viande rôtie, volaille (canard rôti, caille farcie), filet mignon."
Monthélie,": Le monthélie rouge revêt souvent une belle robe rubis vif, aux nuances presque violacées.En blanc, le vin est de couleur paille et brillante, claire et limpide.","En rouge, le fruité s'impose d'emblée framboise, cerise, groseille, mûre, cassis. Les senteurs florales sont dominées par la pivoine. Avec le temps, le bouquet évolue vers l'épice, parfois l'animal et le sous-bois (fougère, champignon), le confit et le cuir.En blanc, le vin évoque l'aubépine, avec une nuance citronnée, et la pomme de reinette.","En rouge, la bouche harmonieuse révèle une pointe d'astringence lorsque le vin est jeune.En blanc, le monthélie est friand grâce à un bon équilibre entre le moelleux et la vivacité.","Viande blanche, lapin, volaille, fromages (cîteaux, brillat-savarin, saint-nectaire, brie). quenelles, sandre ou brochet en sauce, fromages (bleu, livarot, époisses)."
Auxey-duresses,": Les vins rouges ont souvent une belle robe rubis vif. Leurs nuances sont proches du violacé.En blanc, le vin est paille et brillant, clair et limpide, cristallin.","Pour les vins rouges, le fruité s'impose d'emblée. Ses nuances vont du fruit rouge (framboise, cerise, groseille) au fruit noir (mûre, cassis). Les senteurs florales sont dominées par la pivoine. Avec le temps, le bouquet évolue vers l'épice, parfois l'animal et le sous-bois (fougère, champignon), le confit et le cuir.Pour les vins blancs, la palette évoque l'aubépine, avec une nuance citronnée, et la pomme de reinette.","Pour les vins rouges, la bouche est régulière, avec un rien d'astringence lorsque le vin est jeune. La chair et les tanins se complètent parfaitement. Il est préférable de faire patienter le vin en cave.Pour les vins blancs, on perçoit de l'ampleur et du gras, ainsi qu'une vivacité spontanée et assez d'acidité pour bien vieillir. Un vin généralement friand, moelleux, sans être lourd.","Les vins rouges de l'appellation auxey duresse s'accordent au mieux avec les plats suivants filet mignon de veau, agneau, lapin, volaille, fromages (cîteaux, brillat-savarin, saint nectaire, brie). pour les vins blancs auxey duresse, les meilleurs accords mets et vins seront terrine, quenelles, cuisses de grenouilles, feuilleté d’escargots, sandre ou brochet en sauce, poisson poché, fromages (bleu, livarot, époisses)."
Saint-romain,": En rouge, le saint-romain présente une robe cerise noire qui évolue vers le carmin.En blanc, le vin s'habille d'or pâle à reflets verts. Cette nuance fonce légèrement avec l'âge.","En rouge, le bouquet se compose de cerise aigre, de groseille, de bourgeon de cassis et de sous-bois. Vers quatre ou cinq ans, le saint-romain évolue vers des sensations de fruits macérés dans l'alcool, d'épices ou de fumé.En blanc, toute la gamme des fleurs blanches se décline. Le tilleul, la citronnelle, le buis se distinguent nettement, sous des accents fréquemment minéraux. L'essence de rose, le coing apparaissent parfois. Après trois ou quatre ans de vieillissement, émergent les fruits jaunes mûrs (prune, mirabelle) et un léger miellé.","En rouge, le saint-romain est souvent un peu sévère dans sa prime jeunesse. Il a besoin de quelques années de garde pour parfaire ses qualités, exprimant alors sa maturité. Si l'acidité le porte, si ses tanins restent discrets, le corps apparaît bientôt, ferme et élégant, possédant tout ce qu'il faut de chair pour impressionner.En blanc, le saint-romain révèle l'empreinte d'un chardonnay assez vif. Il a de la sève et du montant dès ses premières années. L'âge (quatre ou cinq ans) lui apporte un mœlleux qui caresse le palais, avec le rappel du fruit.","Oeufs en meurette, pâté en croûte, volaille rôtie, blanquette de veau, navarin d’agneau, fromages (cîteaux, brillat-savarin). crustacés, poissons notamment fumés, cuisses de grenouilles, truite en gelée, fromages de chèvre."
Blagny,": La robe est le plus souvent d'un rouge intense, pourpre foncé, et se colore de reflets mauves. Elle évoque des lueurs crépusculaires, jusqu'à la cerise noire, le rubis profond.","Bien fruitée, la gamme aromatique va du petit fruit rouge (fraise, framboise) au petit fruit noir (cassis, mûre). Les arômes de maturité regroupent fruits macérés dans l'eau-de-vie, cuir, poivre, cacao et réglisse. On décèle peu de sensations florales.","Le blagny est un vin charpenté et structuré, concentré, qu'il faut attendre un peu, le temps que la mâche se fonde. Il est toujours excellemment parfumé.","Gibier à poil (lièvre, sanglier), boeuf bourguignon, fromages puissants (soumaintrain, époisses, langres, ami du chambertin, munster)."
Puligny-montrachet,": En blanc, le vin est cousu d'or, luisant, à reflets verts. Cette tonalité prend de l'intensité, de la profondeur avec l'âge.En rouge, la robe est nette et limpide, pourpre assez vif dans sa jeunesse, assombri avec le temps.","Au nez, le puligny-montrachet blanc suggère la fougère, l'aubépine, le raisin mûr, la pâte d'amandes, la noisette, l'ambre, la citronnelle, la pomme verte. Les arômes minéraux (silex, pierre à fusil) et lactiques (beurre) sont fréquents. Le miel est habituel, surtout au bout de quelques années de garde.En rouge, la fraise, le cassis, les petits fruits rouges et noirs se déclinent. Avec l'âge, les accents tirent sur le cuir, le musc et la fourrure.","En blanc, le corps et le bouquet se fondent avec l'âge. La concentration est remarquable.En rouge, le vin se révèle tendre et fruité, charnu au bout de quelques années.","Filet mignon, viande grillée ou rôtie, fromages (comté, cîteaux). vol-au-vent, pauchouse de la saône, quenelles de brochet, jambon à la crème, poularde de bresse à la crème et aux morilles."
Montrachet,": La robe classique du montrachet brille d'or vert illuminé de reflets émeraude. Avec le temps, cette couleur évolue vers le jaune d'or vif.","Nuance de fougère côté puligny, de beurre et de croissant chaud côté chassagne. Il s'y ajoute souvent la citronnelle, les fruits secs, l'amande amère, un rien de minéral, quelques épices encore et le miel, l'aubépine, la réglisse. Des notes d'orange apparaissent parfois.","Un corps fondé dans sa jeunesse sur toute l'acidité nécessaire, miellé?; le montrachet est onctueux et pourtant sec, ferme, enveloppé et profond. Il ne dévoile aucun excès de gras ni de puissance, mais un raffinement extrême.","Homard, langouste, coquilles saint-jacques, poularde aux morilles, poisson (bar en croûte de sel, sole, saumon)."
Chevalier-montrachet,": Sa robe classique brille d'or clair, illuminée de reflets émeraude. Avec le temps, cette nuance évolue vers le jaune d'or vif.","Une minéralité élégante, assortie de pain frais, et un bouquet végétal (verveine, fougère) et floral (jacinthe) s'expriment dès son jeune âge.","Après la grande finesse aromatique au nez, la bouche est de belle constitution et de longue persistance.","Langouste et homard grillés, coquilles saint- jacques, écrevisses à la nage, mousseline de brochet, omble chevalier."
Bâtard-montrachet,": La couleur classique du bâtard-montrachet brille d'or clair, illuminé de reflets émeraude. Avec le temps, cette nuance évolue vers le jaune d'or vif.","Subtil, le nez du bâtard-montrachet mêle la fleur blanche, l'écorce de citron et lacitronnelle, la vanille et le fruit sec (amande amère) ; s'y ajoutent des touches d'épices, de miel, et parfois, une note d'orange. Côté Puligny, les parfums se teintent de fougère, tandis qu'ils prennent des tons chaleureux de beurre et de croissant chaud côté Chassagne.","Le bâtard-montrachet dévoile au palais opulence et profondeur. Sa puissance, héritée de sols riches en argiles, lui garantit une grande tenue dans le temps. Autre facteur de longévité, sa belle trame acide confère à la bouche équilibre et persistance aucun excès de gras et de puissance dans ce vin raffiné à l'extrême, à la fois ferme et caressant.","Quenelles de brochet, vol-au-vent, dodine de canard, jambon du morvan à la crème, poularde de bresse à la crème et aux morilles."
Bienvenues-bâtard-montrachet,": Le bienvenues-bâtard-montrachet s'habille d'une robe or clair, à reflets verts.","Floral et minéral, le bouquet offre des arômes d'acacia, d'agrumes, de verveine et de miel. Une note de tilleul ainsi que des effluves gourmands de brioche chaude signent le cépage chardonnay.","Le corps est parfaitement équilibré et tout en finesse. Au palais, le vin révèle son ampleur et sa richesse.","Grands crustacés à la nage, quenelles de brochet, poisson poché et crémé, poularde de bresse à la crème et aux morilles, fromages (munster, bleus, vieux comté)."
Criots-bâtard-montrachet,": Le criots-bâtard-montrachet brille d'une couleur or vert cristalline, limpide.","Les arômes floraux d'aubépine, de tilleul, de fruits blancs, sur fond vanillé, sont d'une extrême complexité? aux arômes de citronnelle, de fruits secs, d'agrumes et d'épices, et tirent parfois sur le silex, la pierre à fusil.","La texture généreuse, nette et persistante est d'une grande élégance.","Dodine de canard, quenelles de brochet, poularde de bresse à la crème et aux morilles."
Chassagne-montrachet,": Rouge vif à reflets violets, le pinot est généreux en couleur : une nuance à la limite du noir.Le chardonnay s'exprime en lamé d'or. Une robe bien marquée, à reflets verts.","En rouge, la griotte, le noyau de cerise sont avec la framboise, la fraise des bois, la groseille les accents habituels. Un peu d'animal et d'épices complètent le tableau.En blanc, on ne s'étonnera pas de débusquer des arômes de fleurs blanches (chèvrefeuille), de verveine et de noisette. Apparaissent aussi des notes minérales (silex), ainsi qu'un bouquet toasté dû au fût et au caractère de ce vin spontanément beurre frais. Des notes miellées et parfois de poire mûre s'y ajoutent.","En rouge, sous une chair généreuse apparaissent des tanins quelquefois austères dans leur jeunesse. L'ensemble est généralement concentré et d'une agréable complexité.En blanc, l'attaque ne manque pas de vivacité mais quelques années de garde apportent ce qu'il faut de gras à une bouche agréablement fraîche. Le chassagne-montrachet premier cru est tout en courbes et souvent opulent.","Viande (gigot de mouton, tournedos béarnaise, coq au vin, civet de lièvre), fromages (époisses, soumaintrain, morbier). vol-au-vent, poisson, coquilles saint-jacques, volaille de bresse à la crème, fromages (chèvre, comté)."
