Signe_FR;Signe_UE;ID_CATEGORIE_PRODUIT;Catégorie;ID_TYPE_PRODUIT;Classe_UE;SECTEUR;id_appellation;Appellation;id_denomination_geo;Dénomination;Produit;IdProduit;pro_etat;Lib_etat;CVI;Référence;Comité_National;Comité_Régional;Site_INAO;Délégation_Territoriale
;"IG - ";20;"Eaux-de-vie de marc de raisin";3;"Eaux-de-vie de vin et de marc";VITICOLE;389;"Marc de Savoie";2792;"Marc de Savoie";"Marc de Savoie";13118;2;Publié;0;;CNV;BOURGOGNE;Mâcon;"2 Centre-Est"
;"IG - ";20;"Eaux-de-vie de marc de raisin";3;"Eaux-de-vie de vin et de marc";VITICOLE;394;"Marc des Côtes du Rhône ou Eau-de-vie de marc des Côtes du Rhône";1511;"Marc des Côtes du Rhône ou Eau-de-vie de marc des Côtes du Rhône";"Marc des Côtes du Rhône  ou  Eau-de-vie de marc des Côtes du Rhône";13111;2;Publié;0;;CNV;"VALLEE DU RHÔNE";Avignon;"3 Sud-Est"
;"IG - ";20;"Eaux-de-vie de marc de raisin";3;"Eaux-de-vie de vin et de marc";VITICOLE;1141;"Marc du Languedoc ou Eau-de-vie de marc du Languedoc";2784;"Marc du Languedoc ou Eau-de-vie de marc du Languedoc";"Marc du Languedoc ou Eau-de-vie de marc du Languedoc";13097;2;Publié;;;CNV;LANGUEDOC-ROUSSILLON;Narbonne;"4 Occitanie"
;"IG - ";20;"Eaux-de-vie de marc de raisin";3;"Eaux-de-vie de vin et de marc";VITICOLE;1150;"Marc du Bugey";2795;"Marc du Bugey";"Marc du Bugey";13119;2;Publié;;;CNV;BOURGOGNE;Mâcon;"2 Centre-Est"
;"IG - ";20;"Eaux-de-vie de marc de raisin";3;"Eaux-de-vie de vin et de marc";VITICOLE;1153;"Marc de Provence ou Eau-de-vie de marc de Provence";2800;"Marc de Provence ou Eau-de-vie de marc de Provence";"Marc de Provence ou Eau-de-vie de marc de Provence";13123;2;Publié;;;CNV;PROVENCE-CORSE;"La Valette du Var";"3 Sud-Est"
;"IG - ";21;"Eaux-de-vie de fruits";1;"Autres boissons alcoolisées";VITICOLE;1030;"Genièvre Flandre-Artois";2375;"Genièvre Flandre-Artois";"Genièvre Flandre-Artois";10442;2;Publié;0;;CNIGPVC;;Epernay;"1 Nord-Est"
;"IG - ";21;"Eaux-de-vie de fruits";1;"Autres boissons alcoolisées";VITICOLE;1135;"Mirabelle d'Alsace";2777;"Mirabelle d'Alsace";"Mirabelle d'Alsace";13087;2;Publié;0;;CNV;"ALSACE ET EST";Colmar;"1 Nord-Est"
;"IG - ";21;"Eaux-de-vie de fruits";1;"Autres boissons alcoolisées";VITICOLE;1136;"Framboise d’Alsace";2778;"Framboise d’Alsace";"Framboise d’Alsace";13088;2;Publié;0;;CNV;"ALSACE ET EST";Colmar;"1 Nord-Est"
;"IG - ";21;"Eaux-de-vie de fruits";1;"Autres boissons alcoolisées";VITICOLE;1137;"Quetsch d’Alsace";2779;"Quetsch d’Alsace";"Quetsch d’Alsace";13089;2;Publié;0;;CNV;"ALSACE ET EST";Colmar;"1 Nord-Est"
;"IG - ";21;"Eaux-de-vie de fruits";1;"Autres boissons alcoolisées";VITICOLE;1138;"Kirsch d’Alsace";2780;"Kirsch d’Alsace";"Kirsch d’Alsace";13090;2;Publié;0;;CNV;"ALSACE ET EST";Colmar;"1 Nord-Est"
;"IG - ";23;Rhum;1;"Autres boissons alcoolisées";VITICOLE;1139;"Rhum des Antilles françaises";2781;"Rhum des Antilles françaises";"Rhum des Antilles françaises";13091;2;Publié;0;;CNV;RHUM;Caen;"8 Ouest"
;"IG - ";23;Rhum;1;"Autres boissons alcoolisées";VITICOLE;1140;"Rhum de sucrerie de la Baie du Galion ou Rhum de la Baie du Galion ou Rhum Baie du Galion";2782;"Rhum de sucrerie de la Baie du Galion ou Rhum de la Baie du Galion ou Rhum Baie ";"Rhum de sucrerie de la Baie du Galion ou Rhum de la Baie du Galion ou Rhum Baie du Galion";13092;2;Publié;0;;CNV;RHUM;Caen;"8 Ouest"
;"IG - ";23;Rhum;1;"Autres boissons alcoolisées";VITICOLE;1142;"Rhum des départements français d'outre-mer ou Rhum de l'outre-mer français";2785;"Rhum des départements français d'outre-mer ou Rhum de l'outre-mer français";"Rhum des départements français d'outre-mer ou Rhum de l'outre-mer français";13099;2;Publié;0;;CNV;RHUM;Caen;"8 Ouest"
;"IG - ";23;Rhum;1;"Autres boissons alcoolisées";VITICOLE;1143;"Rhum de La Réunion ou Rhum de Réunion ou Rhum Réunion ou Rhum de l'Ile de La Réunion";2786;"Rhum de La Réunion ou Rhum de Réunion ou Rhum Réunion ou Rhum de l'Ile de La Ré";"Rhum de La Réunion ou Rhum de Réunion ou Rhum Réunion ou Rhum de l'Ile de La Réunion";13100;2;Publié;0;;CNV;RHUM;Caen;"8 Ouest"
;"IG - ";23;Rhum;1;"Autres boissons alcoolisées";VITICOLE;1144;"Rhum de la Guyane ou Rhum de Guyane ou Rhum Guyane";2787;"Rhum de la Guyane ou Rhum de Guyane ou Rhum Guyane ";"Rhum de la Guyane ou Rhum de Guyane ou Rhum Guyane";13101;2;Publié;0;;CNV;RHUM;Caen;"8 Ouest"
;"IG - ";23;Rhum;1;"Autres boissons alcoolisées";VITICOLE;1145;"Rhum de la Guadeloupe";2788;"Rhum de la Guadeloupe";"Rhum de la Guadeloupe blanc";13102;2;Publié;0;;CNV;RHUM;Caen;"8 Ouest"
;"IG - ";23;Rhum;1;"Autres boissons alcoolisées";VITICOLE;1145;"Rhum de la Guadeloupe";2831;"Rhum de la Guadeloupe Marie Galante";"Rhum de la Guadeloupe Marie Galante";14212;2;Publié;0;;CNV;RHUM;Caen;"8 Ouest"
;"IG - ";108;Liqueur;1;"Autres boissons alcoolisées";VITICOLE;746;"Absinthe de Pontarlier";1910;"Absinthe de Pontarlier";"Absinthe de Pontarlier";4329;2;Publié;0;;CNV;BOURGOGNE;Dijon;"2 Centre-Est"
;"IG - ";108;Liqueur;1;"Autres boissons alcoolisées";VITICOLE;1148;"Ratafia de Champagne ou Ratafia champenois";2791;"Ratafia de Champagne ou Ratafia champenois";"Ratafia de Champagne ou Ratafia champenois";13116;2;Publié;0;;CNIGPVC;;Epernay;"1 Nord-Est"
;"IG - ";108;Liqueur;1;"Autres boissons alcoolisées";VITICOLE;1154;"Génépi des Alpes";2801;"Génépi des Alpes";"Génépi des Alpes";13187;2;Publié;0;;CNIGP/LR/STG;;Mâcon;"2 Centre-Est"
;"IG - ";112;"Whisky ou Whiskey";1;"Autres boissons alcoolisées";VITICOLE;1147;"Whisky breton ou Whisky de Bretagne";2790;"Whisky breton ou Whisky de Bretagne";"Whisky breton ou Whisky de Bretagne";13115;2;Publié;0;;CNV;COGNAC;Caen;"8 Ouest"
;"IG - ";112;"Whisky ou Whiskey";1;"Autres boissons alcoolisées";VITICOLE;1152;"Whisky d'Alsace ou Whisky alsacien ";2798;"Whisky d'Alsace ou Whisky alsacien";"Whisky d'Alsace ou Whisky alsacien";13121;2;Publié;0;;CNV;"ALSACE ET EST";Colmar;"1 Nord-Est"
;"IG - ";113;"Boissons aromatisées baies de genévrier";1;"Autres boissons alcoolisées";VITICOLE;1157;"Genièvre ou Jenever ou Genever";2804;"Genièvre ou Jenever ou Genever ";"Genièvre ou Jenever ou Genever";13203;2;Publié;0;;CNIGPVC;;Epernay;"1 Nord-Est"
;"IG - ";114;"Crème de cassis";1;"Autres boissons alcoolisées";VITICOLE;818;"Cassis de Bourgogne";1983;"Cassis de Bourgogne";"Cassis de Bourgogne";4433;2;Publié;0;;CNV;BOURGOGNE;Dijon;"2 Centre-Est"
;"IG - ";114;"Crème de cassis";1;"Autres boissons alcoolisées";VITICOLE;1040;"Cassis de Dijon";2532;"Cassis de Dijon";"Cassis de Dijon";12823;2;Publié;0;;CNV;BOURGOGNE;Dijon;"2 Centre-Est"
;"IG - ";114;"Crème de cassis";1;"Autres boissons alcoolisées";VITICOLE;1146;"Cassis de Saintonge";2789;"Cassis de Saintonge";"Cassis de Saintonge";13108;2;Publié;0;;CNIGPVC;;Cognac;"5 Aquitaine - Poitou-Charentes"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;859;"Pays d'Oc";2136;"Pays d'Oc";"Pays d'Oc blanc";14259;2;Publié;3B001;;CNIGPVC;;Montpellier;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;859;"Pays d'Oc";2136;"Pays d'Oc";"Pays d'Oc gris";14258;2;Publié;3S001;;CNIGPVC;;Montpellier;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;859;"Pays d'Oc";2136;"Pays d'Oc";"Pays d'Oc gris de gris";14260;2;Publié;3S001;;CNIGPVC;;Montpellier;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;859;"Pays d'Oc";2136;"Pays d'Oc";"Pays d'Oc primeur ou nouveau blanc";14276;2;Publié;3B001;;CNIGPVC;;Montpellier;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;859;"Pays d'Oc";2136;"Pays d'Oc";"Pays d'Oc rosé";14272;2;Publié;3S001;;CNIGPVC;;Montpellier;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;859;"Pays d'Oc";2136;"Pays d'Oc";"Pays d'Oc rouge";14271;2;Publié;3R001;;CNIGPVC;;Montpellier;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2463;"Comté tolosan Bigorre";"Comté Tolosan Bigorre blanc";14300;2;Publié;3B652;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2463;"Comté tolosan Bigorre";"Comté Tolosan Bigorre rosé";14286;2;Publié;3S652;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2463;"Comté tolosan Bigorre";"Comté Tolosan Bigorre rouge";14305;2;Publié;3R652;;CNAOP;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2463;"Comté tolosan Bigorre";"Comté Tolosan Bigorre surmûri blanc";14287;2;Publié;3B652U;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2464;"Comté tolosan";"Comté Tolosan blanc";14292;2;Publié;3B003;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2524;"Comté Tolosan Cantal";"Comté Tolosan Cantal blanc";14306;2;Publié;3B151;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2524;"Comté Tolosan Cantal";"Comté Tolosan Cantal rosé";14312;2;Publié;3S151;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2524;"Comté Tolosan Cantal";"Comté Tolosan Cantal rouge";14313;2;Publié;3R151;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2465;"Comté tolosan Coteaux et Terrasses de Montauban";"Comté Tolosan Coteaux et Terrasses de Montauban blanc";14315;2;Publié;3B824;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2465;"Comté tolosan Coteaux et Terrasses de Montauban";"Comté Tolosan Coteaux et Terrasses de Montauban rosé";14321;2;Publié;3S824;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2465;"Comté tolosan Coteaux et Terrasses de Montauban";"Comté Tolosan Coteaux et Terrasses de Montauban rouge";14322;2;Publié;3S824;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2466;"Comté tolosan Haute-Garonne";"Comté Tolosan Haute-Garonne blanc";14324;2;Publié;3B311;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2466;"Comté tolosan Haute-Garonne";"Comté Tolosan Haute-Garonne rosé";14330;2;Publié;3S311;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2466;"Comté tolosan Haute-Garonne";"Comté Tolosan Haute-Garonne rouge";14331;2;Publié;3R311;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2467;"Comté tolosan Pyrénées Atlantiques";"Comté Tolosan Pyrénées Atlantiques blanc";14338;2;Publié;3B641;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2467;"Comté tolosan Pyrénées Atlantiques";"Comté Tolosan Pyrénées Atlantiques rosé";14343;2;Publié;3S641;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2467;"Comté tolosan Pyrénées Atlantiques";"Comté Tolosan Pyrénées Atlantiques rouge";14344;2;Publié;3R641;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2464;"Comté tolosan";"Comté Tolosan rosé";14346;2;Publié;3S003;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2464;"Comté tolosan";"Comté Tolosan rouge";14347;2;Publié;3R003;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2464;"Comté tolosan";"Comté Tolosan surmûri blanc";14348;2;Publié;3B003U;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2468;"Comté tolosan Tarn et Garonne";"Comté Tolosan Tarn et Garonne blanc";14349;2;Publié;3B821;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2468;"Comté tolosan Tarn et Garonne";"Comté Tolosan Tarn et Garonne rosé";14354;2;Publié;3S821;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;861;"Comté Tolosan";2468;"Comté tolosan Tarn et Garonne";"Comté Tolosan Tarn et Garonne rouge";14353;2;Publié;3R821;;CNIGPVC;;Gaillac;"4 Occitanie"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;862;"Comtés Rhodaniens";2139;"Comtés Rhodaniens";"Comtés Rhodaniens blanc";13539;2;Publié;3B004;;CNIGPVC;;Valence;"3 Sud-Est"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;862;"Comtés Rhodaniens";2139;"Comtés Rhodaniens";"Comtés Rhodaniens rosé";13540;2;Publié;3S004;;CNIGPVC;;Valence;"3 Sud-Est"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;862;"Comtés Rhodaniens";2139;"Comtés Rhodaniens";"Comtés Rhodaniens rouge";13541;2;Publié;3R004;;CNIGPVC;;Valence;"3 Sud-Est"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;863;Méditerranée;2140;Méditerranée;"Méditerranée blanc";14216;2;Publié;3B007;;CNIGPVC;;Avignon;"3 Sud-Est"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;863;Méditerranée;2394;"Méditérranée Comté de Grignan";"Méditérranée Comté de Grignan blanc";14229;2;Publié;3B033;;CNIGPVC;;Avignon;"3 Sud-Est"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;863;Méditerranée;2394;"Méditérranée Comté de Grignan";"Méditérranée Comté de Grignan rosé";14407;2;Publié;3S033;;CNIGPVC;;Avignon;"3 Sud-Est"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;863;Méditerranée;2394;"Méditérranée Comté de Grignan";"Méditérranée Comté de Grignan rouge";14408;2;Publié;3R033;;CNIGPVC;;Avignon;"3 Sud-Est"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;863;Méditerranée;2395;"Méditérranée Coteaux de Montélimar";"Méditérranée Coteaux de Montélimar blanc";14410;2;Publié;3B034;;CNIGPVC;;Avignon;"3 Sud-Est"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;863;Méditerranée;2395;"Méditérranée Coteaux de Montélimar";"Méditérranée Coteaux de Montélimar rosé";14417;2;Publié;3S034;;CNIGPVC;;Avignon;"3 Sud-Est"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;863;Méditerranée;2395;"Méditérranée Coteaux de Montélimar";"Méditérranée Coteaux de Montélimar rouge";14421;2;Publié;3R034;;CNIGPVC;;Avignon;"3 Sud-Est"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;863;Méditerranée;2140;Méditerranée;"Méditerranée rosé";14217;2;Publié;3S007;;CNIGPVC;;Avignon;"3 Sud-Est"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;863;Méditerranée;2140;Méditerranée;"Méditerranée rouge";14218;2;Publié;3R007;;CNIGPVC;;Avignon;"3 Sud-Est"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;864;Atlantique;2141;Atlantique;"Atlantique blanc";7866;2;Publié;3B008;;CNIGPVC;;Bordeaux;"5 Aquitaine - Poitou-Charentes"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;864;Atlantique;2141;Atlantique;"Atlantique rosé";8845;2;Publié;3S008;;CNIGPVC;;Bordeaux;"5 Aquitaine - Poitou-Charentes"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;864;Atlantique;2141;Atlantique;"Atlantique rouge";8846;2;Publié;3R008;;CNIGPVC;;Bordeaux;"5 Aquitaine - Poitou-Charentes"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2417;"Val de Loire Allier";"Val de Loire Allier blanc";14085;2;Publié;3B031;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2417;"Val de Loire Allier";"Val de Loire Allier gris";14086;2;Publié;3S031;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2417;"Val de Loire Allier";"Val de Loire Allier rosé";14091;2;Publié;3S031;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2417;"Val de Loire Allier";"Val de Loire Allier rouge";14092;2;Publié;3R031;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2142;"Val de Loire";"Val de Loire blanc";14081;2;Publié;3B009;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2418;"Val de Loire Cher";"Val de Loire Cher blanc";15646;2;Publié;3B181;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2418;"Val de Loire Cher";"Val de Loire Cher gris";15648;2;Publié;3S181;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2418;"Val de Loire Cher";"Val de Loire Cher rosé";15659;2;Publié;3S181;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2418;"Val de Loire Cher";"Val de Loire Cher rouge";15661;2;Publié;3R181;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2142;"Val de Loire";"Val de Loire gris";14082;2;Publié;3S009;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2419;"Val de Loire Indre";"Val de Loire Indre blanc ";15665;2;Publié;3B361;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2419;"Val de Loire Indre";"Val de Loire Indre gris";15668;2;Publié;3S361;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2419;"Val de Loire Indre";"Val de Loire Indre rosé";15679;2;Publié;3S361;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2419;"Val de Loire Indre";"Val de Loire Indre rouge";15681;2;Publié;3R361;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2420;"Val de Loire Indre-et-Loire";"Val de Loire Indre-et-Loire blanc";15683;2;Publié;3B371;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2420;"Val de Loire Indre-et-Loire";"Val de Loire Indre-et-Loire gris";15686;2;Publié;3S371;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2420;"Val de Loire Indre-et-Loire";"Val de Loire Indre-et-Loire rosé";15696;2;Publié;3S371;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2420;"Val de Loire Indre-et-Loire";"Val de Loire Indre-et-Loire rouge";15698;2;Publié;3R371;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2423;"Val de Loire Loir-et-Cher";"Val de Loire Loir-et-Cher blanc";15700;2;Publié;3B411;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2423;"Val de Loire Loir-et-Cher";"Val de Loire Loir-et-Cher gris";15702;2;Publié;3S411;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2423;"Val de Loire Loir-et-Cher";"Val de Loire Loir-et-Cher rosé";15710;2;Publié;3S411;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2423;"Val de Loire Loir-et-Cher";"Val de Loire Loir-et-Cher rouge";15712;2;Publié;3R411;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2421;"Val de Loire Loire-Atlantique";"Val de Loire Loire-Atlantique blanc";15713;2;Publié;3B441;;CNIGPVC;;Angers;"7 Val de Loire"
;"IGP -";1;"Vin tranquille";2;Vins;VITICOLE;865;"Val de Loire";2421;"Val de Loire Loire-Atlantique";"Val de Loire Loire-Atlantique gris";15715;2;Publié;3S441;;CNIGPVC;;Angers;"7 Val de Loire"
